trip_duration,trip_distance,PULocationID,DOLocationID,time_stamp,weekday,month
1043,6.5,58,168,110,4,4
1355,8.6,126,220,114,5,4
947,5.2,164,88,97,3,4
2094,18.2,217,254,104,7,4
1868,13.3,82,133,114,2,4
1074,4.8,148,145,96,4,4
3095,22.2,29,152,102,5,4
1716,12,34,171,101,7,4
1735,14.8,145,136,113,1,4
2100,7.8,256,142,111,1,4
2346,25.2,219,257,110,3,4
1701,11.3,79,21,100,2,4
812,3.8,152,143,108,6,4
2864,28.4,108,212,108,5,4
2945,23.2,156,193,98,1,4
1314,8.7,49,207,114,1,4
2987,30.3,64,251,106,3,4
1586,9.7,122,198,109,6,4
2162,14,22,229,109,5,4
1575,12.1,256,98,107,4,4
2333,8.6,62,150,103,7,4
1824,12.8,223,106,100,6,4
1741,10.9,78,230,99,4,4
2551,20,127,190,103,3,4
1968,16.1,263,102,110,7,4
387,1.6,131,98,111,4,4
2260,12,48,14,106,2,4
1572,7,14,85,108,2,4
2646,23.9,184,106,98,7,4
1491,7.8,39,197,100,7,4
2347,20.5,57,108,106,4,4
2032,11.7,90,78,104,7,4
2118,16.9,6,72,98,7,4
934,3,222,35,107,6,4
2638,22.5,28,143,97,3,4
3511,24.3,142,110,96,5,4
2015,21.2,99,52,106,2,4
1229,9,232,207,113,4,4
2065,6.6,49,123,103,5,4
3945,34.4,3,176,103,2,4
1334,11.4,195,221,97,2,4
1712,11.4,148,173,99,3,4
2397,21.8,222,263,107,2,4
2199,18.9,262,124,112,2,4
1234,5.7,243,126,105,3,4
1489,13.8,185,83,97,1,4
1465,13.5,138,51,109,3,4
2397,19.2,68,51,109,6,4
1954,16.3,164,218,113,4,4
1529,8.2,179,232,102,1,4
2171,10.8,126,249,109,7,4
3114,26.5,2,45,103,1,4
2129,22.5,128,160,113,3,4
528,2,29,108,96,4,4
